"자치구별(1)",자치구별(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"자치구별(1)",자치구별(2),합계,합계,합계,자연공원(국립),자연공원(국립),자연공원(국립),도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,기타,기타,기타,합계,합계,합계,자연공원(국립),자연공원(국립),자연공원(국립),도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,기타,기타,기타,합계,합계,합계,자연공원(국립),자연공원(국립),자연공원(국립),도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,기타,기타,기타,합계,합계,합계,자연공원(국립),자연공원(국립),자연공원(국립),도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,기타,기타,기타,합계,합계,합계,자연공원(국립),자연공원(국립),자연공원(국립),도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,기타,기타,기타
"자치구별(1)",자치구별(2),소계,소계,소계,소계,소계,소계,소계,소계,소계,도시자연공원구역,도시자연공원구역,도시자연공원구역,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,도시자연공원구역,도시자연공원구역,도시자연공원구역,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,도시자연공원구역,도시자연공원구역,도시자연공원구역,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,도시자연공원구역,도시자연공원구역,도시자연공원구역,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,도시자연공원구역,도시자연공원구역,도시자연공원구역,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,소계,소계,소계
"자치구별(1)",자치구별(2),소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,근린공원,근린공원,근린공원,어린이공원,어린이공원,소공원,소공원,묘지공원,묘지공원,문화공원,문화공원,체육공원,체육공원,역사공원,역사공원,수변공원,수변공원,생태공원,생태공원,가로공원,가로공원,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,근린공원,근린공원,근린공원,어린이공원,어린이공원,소공원,소공원,묘지공원,묘지공원,문화공원,문화공원,체육공원,체육공원,역사공원,역사공원,수변공원,수변공원,생태공원,생태공원,가로공원,가로공원,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,근린공원,근린공원,근린공원,어린이공원,어린이공원,어린이공원,소공원,소공원,소공원,묘지공원,묘지공원,묘지공원,문화공원,문화공원,문화공원,체육공원,체육공원,체육공원,역사공원,역사공원,역사공원,수변공원,수변공원,수변공원,생태공원,생태공원,생태공원,가로공원,가로공원,가로공원,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,근린공원,근린공원,근린공원,어린이공원,어린이공원,소공원,소공원,묘지공원,묘지공원,문화공원,문화공원,체육공원,체육공원,역사공원,역사공원,수변공원,수변공원,생태공원,생태공원,가로공원,가로공원,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,근린공원,근린공원,근린공원,어린이공원,어린이공원,소공원,소공원,묘지공원,묘지공원,문화공원,문화공원,체육공원,체육공원,역사공원,역사공원,수변공원,수변공원,생태공원,생태공원,가로공원,가로공원,소계,소계,소계
"자치구별(1)",자치구별(2),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),중복 공원수 (개소),면적 (천㎡)
"합계",소계,2868,33,168896.8,1,5,37345.0,2214,25,115481.0,20,12,63101.1,407,13,45438.1,1262,2194.3,412,616.7,6,183.2,4,2377.9,59,766.2,19,497.2,14,227.2,1,51.1,10,27.9,653,3,16070.8,2939,53,172317.4,1,5,37345.0,2291,45,118940.4,68,20,69222.5,419,25,43179.6,1257,2187.7,426,643.4,4,1899.8,64,808.9,6,183.2,22,509.0,14,227.2,1,51.1,10,27.9,647,3,16032.0,2959,53,172675.1,1,5,37345.0,2296,45,119276.8,68,20,69222.5,420,25,43352.6,1249,-,2191.9,431,-,655.0,5,-,1943.8,68,-,848.0,8,-,247.6,22,-,509.0,14,-,227.2,1,-,51.1,10,-,27.9,662,3,16053.3,2980,56,173024.1,1,5,37517.0,2307,48,119335.2,68,19,69221.4,417,29,43345.7,1248,2194.9,447,682.2,4,1940.9,68,846.6,9,291.5,22,509.0,14,227.2,1,51.1,9,24.4,672,3,16171.9,2984,57,173076.0,1,5,37517.0,2303,49,119308.6,68,19,69221.4,415,30,43329.1,1243,2179.9,447,683.5,4,1939.4,70,851.6,9,291.5,22,509.0,14,227.2,2,51.4,9,24.4,680,3,16250.4
"합계",종로구,106,2,11556.1,-,1,4998.0,69,1,6433.0,2,1,3734.1,22,-,2497.5,24,60.5,16,22.0,-,-,-,-,3,9.6,2,109.4,-,-,-,-,-,-,37,-,125.1,105,5,11402.6,-,1,4998.0,69,4,6280.7,3,2,3316.0,23,2,2765.1,20,55.0,16,21.9,-,-,3,9.6,-,-,4,113.0,-,-,-,-,-,-,36,-,123.9,104,5,11404.1,-,1,4998.0,69,4,6282.5,3,2,3316.0,23,2,2767.0,20,-,55.0,16,-,21.9,-,-,-,3,-,9.6,-,-,-,4,-,113.0,-,-,-,-,-,-,-,-,-,35,-,123.6,106,5,11434.6,-,1,5030.0,69,4,6236.6,3,2,3316.0,23,2,2721.1,20,55.0,16,21.9,-,-,3,9.6,-,-,4,113.0,-,-,-,-,-,-,37,-,168.0,106,5,11434.6,-,1,5030.0,69,4,6236.6,3,2,3316.0,23,2,2721.1,20,55.0,16,21.9,-,-,3,9.6,-,-,4,113.0,-,-,-,-,-,-,37,-,168.0
"합계",중구,73,2,3155.1,-,-,-,59,2,3082.7,1,-,1785.1,6,2,1176.7,16,33.6,28,25.4,1,29.7,-,-,3,5.8,4,26.3,-,-,-,-,-,-,14,-,72.5,75,3,3163.8,-,-,-,61,3,3091.3,1,1,1791.0,6,2,1171.7,16,31.6,29,27.1,-,-,3,5.8,1,29.7,5,34.4,-,-,-,-,-,-,14,-,72.5,76,3,3178.2,-,-,-,61,3,3090.9,1,1,1791.0,6,2,1171.7,16,-,31.6,29,-,26.7,-,-,-,3,-,5.8,1,-,29.7,5,-,34.4,-,-,-,-,-,-,-,-,-,15,-,87.3,70,5,3206.2,-,-,-,57,5,3118.9,1,-,1789.8,3,5,1201.4,16,31.6,28,26.1,-,-,3,5.8,1,29.7,5,34.4,-,-,-,-,-,-,13,-,87.3,72,5,3204.7,-,-,-,56,5,3116.7,1,-,1789.8,4,5,1205.4,15,28.7,27,22.9,-,-,3,5.8,1,29.7,5,34.4,-,-,-,-,-,-,16,-,88.0
"합계",용산구,110,1,1779.6,-,-,-,71,1,763.1,-,-,-,7,1,607.3,23,41.6,30,53.7,-,-,-,-,6,39.5,3,17.5,-,-,-,-,2,3.5,39,-,1016.4,108,3,1777.1,-,-,-,69,3,760.6,-,1,54.9,7,2,555.2,23,41.3,28,48.7,-,-,6,39.5,-,-,3,17.5,-,-,-,-,2,3.5,39,-,1016.4,108,3,1775.5,-,-,-,69,3,759.1,-,1,54.9,7,2,555.2,23,-,41.3,28,-,47.2,-,-,-,6,-,39.5,-,-,-,3,-,17.5,-,-,-,-,-,-,2,-,3.5,39,-,1016.4,107,4,1774.0,-,-,-,68,4,757.5,-,1,54.9,6,3,555.2,23,41.3,28,47.2,-,-,6,37.9,-,-,3,17.5,-,-,-,-,2,3.5,39,-,1016.4,107,4,1773.8,-,-,-,68,4,757.4,-,1,54.9,6,3,555.2,25,44.4,26,43.9,-,-,6,37.9,-,-,3,17.5,-,-,-,-,2,3.5,39,-,1016.4
"합계",성동구,86,1,3100.0,-,-,-,64,1,1257.1,-,-,-,10,1,1082.7,32,55.8,16,16.6,1,2.8,-,-,2,90.4,-,-,-,-,-,-,3,8.8,22,-,1843.0,87,1,3074.0,-,-,-,65,1,1231.0,1,-,72.6,10,1,983.9,32,55.8,16,16.6,-,-,2,90.4,1,2.8,-,-,-,-,-,-,3,8.8,22,-,1843.0,88,1,3074.3,-,-,-,65,1,1231.0,1,-,72.6,10,1,983.9,32,-,55.8,16,-,16.6,-,-,-,2,-,90.4,1,-,2.8,-,-,-,-,-,-,-,-,-,3,-,8.8,23,-,1843.3,100,1,3083.8,-,-,-,65,1,1231.0,1,-,72.6,10,1,983.9,32,55.8,16,16.6,-,-,2,90.4,1,2.8,-,-,-,-,-,-,3,8.8,35,-,1852.8,105,1,3085.7,-,-,-,65,1,1231.0,1,-,72.6,10,1,983.9,32,55.8,16,16.6,-,-,2,90.4,1,2.8,-,-,-,-,-,-,3,8.8,40,-,1854.7
"합계",광진구,60,2,3363.5,-,-,-,44,1,2916.4,-,1,2307.1,1,-,560.6,35,39.0,8,9.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,1,447.1,63,2,3451.0,-,-,-,46,1,2985.3,1,-,2097.5,1,1,837.7,35,39.0,9,11.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,1,465.8,68,2,3459.8,-,-,-,50,1,2993.9,1,-,2097.5,1,1,837.7,34,-,40.6,13,-,14.9,-,-,-,1,-,3.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,1,465.9,68,2,3459.8,-,-,-,50,1,2993.9,1,-,2097.5,1,1,837.7,34,40.6,13,14.9,-,-,1,3.2,-,-,-,-,-,-,-,-,-,-,18,1,465.9,68,2,3459.8,-,-,-,50,1,2993.9,1,-,2097.5,1,1,837.7,34,40.6,13,14.9,-,-,1,3.2,-,-,-,-,-,-,-,-,-,-,18,1,465.9
"합계",동대문구,95,1,1275.1,-,-,-,79,1,1033.0,-,-,-,11,1,901.2,42,81.6,23,40.5,-,-,-,-,-,-,1,3.9,-,-,-,-,2,5.9,16,-,242.1,96,2,1219.2,-,-,-,80,2,978.1,1,1,96.5,11,1,750.0,38,69.7,26,49.5,-,-,1,2.7,-,-,1,3.9,-,-,-,-,2,5.8,16,-,241.1,92,2,1216.0,-,-,-,76,2,974.9,1,1,96.5,11,1,750.0,35,-,64.6,25,-,51.3,-,-,-,1,-,2.7,-,-,-,1,-,3.9,-,-,-,-,-,-,2,-,5.8,16,-,241.1,92,2,1215.4,-,-,-,76,2,974.3,1,1,96.5,11,1,749.8,35,64.6,25,50.9,-,-,1,2.7,-,-,1,3.9,-,-,-,-,2,5.8,16,-,241.1,92,2,1215.4,-,-,-,76,2,974.3,1,1,96.5,11,1,749.8,35,64.6,25,50.9,-,-,1,2.7,-,-,1,3.9,-,-,-,-,2,5.8,16,-,241.1
"합계",중랑구,101,-,5205.3,-,-,-,64,-,5022.6,1,-,2800.6,9,-,1311.6,44,59.0,9,18.6,-,-,1,832.8,-,-,-,-,-,-,-,-,-,-,37,-,182.7,102,1,4990.3,-,-,-,65,1,4807.6,2,1,2895.9,10,-,1479.4,43,59.0,9,18.6,1,354.7,-,-,-,-,-,-,-,-,-,-,-,-,37,-,182.7,109,1,5233.0,-,-,-,72,1,5050.3,2,1,2895.9,13,-,1719.9,44,-,58.9,12,-,20.8,1,-,354.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,-,182.7,113,1,5229.0,-,-,-,76,1,5046.4,2,1,2895.9,12,-,1701.2,47,72.1,14,22.5,1,354.7,-,-,-,-,-,-,-,-,-,-,-,-,37,-,182.6,108,1,5199.9,-,-,-,71,1,5017.3,2,1,2895.9,12,-,1686.9,44,58.9,12,20.8,1,354.7,-,-,-,-,-,-,-,-,-,-,-,-,37,-,182.6
